start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731583823148,1731583823346,198,4191,3614,699.164886,2.930200,0.038454,0.580180,com.twitter.android,True,False,True,False,False,False,True,True,['*launch*' 'AudioMix AudioOut_1D1138' 'screen']
1731583823346,1731583823392,46,4191,3614,699.164886,2.930200,0.008934,0.134789,com.twitter.android,True,False,True,False,False,False,True,True,"['*job*/com.twitter.android/androidx.work.impl.background.systemjob.SystemJobService'
 '*launch*' 'AudioMix AudioOut_1D1138' 'screen']"
1731583823392,1731583823530,138,4191,3614,699.164886,2.930200,0.026801,0.404368,com.twitter.android,True,False,True,False,False,False,True,True,['*launch*' 'AudioMix AudioOut_1D1138' 'screen']
1731583823530,1731583823999,469,4191,3614,699.164886,2.930200,0.091086,1.374264,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'screen']
1731583823999,1731583824175,176,4191,3614,699.164886,2.930200,0.034181,0.515715,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'screen']
1731583824175,1731583824249,74,4145,3613,1124.824246,4.662397,0.023121,0.345017,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'screen']
1731583824249,1731583824250,1,4145,3613,1124.824246,4.662397,0.000312,0.004662,com.twitter.android,True,False,True,False,False,False,False,False,['*telephony-radio*' 'AudioMix AudioOut_1D1138' 'screen']
1731583824250,1731583824254,4,4145,3613,1124.824246,4.662397,0.001250,0.018650,com.twitter.android,True,False,True,False,False,False,False,False,['*telephony-radio*' 'AudioMix AudioOut_1D1138' 'screen']
1731583824254,1731583824255,1,4145,3613,1124.824246,4.662397,0.000312,0.004662,com.twitter.android,True,False,True,False,False,False,False,False,['*telephony-radio*' 'AudioMix AudioOut_1D1138' 'screen']
1731583824255,1731583824816,561,4145,3613,1124.824246,4.662397,0.175285,2.615604,com.twitter.android,True,False,True,False,False,False,True,False,['AudioMix AudioOut_1D1138' 'screen']
