start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731579877654,1731579877685,31,4279,3925,456.389452,1.952890,0.003930,0.060540,com.twitter.android,True,False,True,False,False,False,False,False,['NetworkStats' 'AudioMix AudioOut_1D1138' 'screen']
1731579877685,1731579879410,1725,4279,3925,456.389452,1.952890,0.218687,3.368736,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'screen']
1731579879410,1731579884569,5159,4279,3925,456.389452,1.952890,0.654031,10.074962,com.twitter.android,True,False,True,False,False,False,False,False,screen
1731579884569,1731579884779,210,4279,3925,456.389452,1.952890,0.026623,0.410107,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'screen']
1731579884779,1731579885261,482,4279,3925,456.389452,1.952890,0.061105,0.941293,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'screen']
1731579885261,1731579885263,2,4279,3925,456.389452,1.952890,0.000254,0.003906,com.twitter.android,True,False,True,False,False,False,True,True,"['*job*/com.twitter.android/androidx.work.impl.background.systemjob.SystemJobService'
 'AudioMix AudioOut_1D1138' 'screen']"
1731579885263,1731579885379,116,4279,3925,456.389452,1.952890,0.014706,0.226535,com.twitter.android,True,False,True,False,False,False,False,True,['AudioMix AudioOut_1D1138' 'screen']
1731579885379,1731579885402,23,4279,3925,456.389452,1.952890,0.002916,0.044916,com.twitter.android,True,False,True,False,False,False,True,False,screen
1731579885402,1731579885481,79,4279,3925,456.389452,1.952890,0.010015,0.154278,com.twitter.android,True,False,True,False,False,False,True,False,['AudioMix AudioOut_1D1138' 'screen']
1731579885481,1731579885482,1,4279,3925,456.389452,1.952890,0.000127,0.001953,com.twitter.android,True,False,True,False,False,False,True,True,screen
1731579885482,1731579885741,259,4279,3925,456.389452,1.952890,0.032835,0.505799,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'screen']
1731579885741,1731579885778,37,4279,3925,456.389452,1.952890,0.004691,0.072257,com.twitter.android,True,False,True,False,False,False,True,True,['NetworkStats' 'AudioMix AudioOut_1D1138' 'screen']
1731579885778,1731579885970,192,4279,3925,456.389452,1.952890,0.024341,0.374955,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'screen']
