start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731580709679,1731580709682,3,4237,3839,35643.564356,151.021782,0.029703,0.453065,com.twitter.android,True,False,True,False,False,False,True,False,"['*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 'AudioMix AudioOut_1D1138' '*launch*' 'CollectionLib-SigCollector'
 'screen']"
1731580709682,1731580709685,3,4237,3839,35643.564356,151.021782,0.029703,0.453065,com.twitter.android,True,False,True,False,False,False,True,False,"['*telephony-radio*'
 '*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 'AudioMix AudioOut_1D1138' '*launch*' 'CollectionLib-SigCollector'
 'screen']"
1731580709685,1731580709686,1,4237,3839,35643.564356,151.021782,0.009901,0.151022,com.twitter.android,True,False,True,False,False,False,True,False,"['*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 'AudioMix AudioOut_1D1138' '*launch*' 'CollectionLib-SigCollector'
 'screen']"
1731580709686,1731580709690,4,4237,3839,35643.564356,151.021782,0.039604,0.604087,com.twitter.android,True,False,True,False,False,False,True,False,"['*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 '*telephony-radio*' 'AudioMix AudioOut_1D1138' '*launch*'
 'CollectionLib-SigCollector' 'screen']"
1731580709690,1731580709692,2,4237,3839,35643.564356,151.021782,0.019802,0.302044,com.twitter.android,True,False,True,False,False,False,True,False,"['*telephony-radio*' 'AudioMix AudioOut_1D1138' '*launch*'
 'CollectionLib-SigCollector' 'screen']"
1731580709692,1731580709693,1,4237,3839,35643.564356,151.021782,0.009901,0.151022,com.twitter.android,True,False,True,False,False,False,True,False,"['*telephony-radio*' 'AudioMix AudioOut_1D1138' '*launch*'
 'CollectionLib-SigCollector' 'screen']"
1731580709693,1731580709715,22,4237,3839,35643.564356,151.021782,0.217822,3.322479,com.twitter.android,True,False,True,False,False,False,True,False,"['AudioMix AudioOut_1D1138' '*launch*' 'CollectionLib-SigCollector'
 'screen']"
1731580709715,1731580709726,11,4185,3838,549.227014,2.298515,0.001678,0.025284,com.twitter.android,True,False,True,False,False,False,True,True,['*launch*' 'CollectionLib-SigCollector' 'screen']
1731580709726,1731580709740,14,4185,3838,549.227014,2.298515,0.002136,0.032179,com.twitter.android,True,False,True,False,False,False,True,True,"['*launch*' 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector'
 'screen']"
1731580709740,1731580709741,1,4185,3838,549.227014,2.298515,0.000153,0.002299,com.twitter.android,True,False,True,False,False,False,True,True,"['*telephony-radio*' '*launch*' 'AudioMix AudioOut_1D1138'
 'CollectionLib-SigCollector' 'screen']"
