start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731575888970,1731575888972,2,4292,4070,142.463296,0.611452,0.000079,0.001223,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,"['*alarm*:com.google.android.gms.auth.authzen.cryptauth.DEVICE_STATE_CHECK_DELAY_COMPLETE'
 'screen']"
1731575888972,1731575891358,2386,4292,4070,142.463296,0.611452,0.094422,1.458926,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731575891358,1731575891359,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731575891359,1731575891360,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731575891360,1731575891371,11,4292,4070,142.463296,0.611452,0.000435,0.006726,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731575891371,1731575891372,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731575891372,1731575891429,57,4292,4070,142.463296,0.611452,0.002256,0.034853,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731575891429,1731575891436,7,4292,4070,142.463296,0.611452,0.000277,0.004280,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['NetworkStats' 'screen']
1731575891436,1731575891437,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'NetworkStats' 'screen']
1731575891437,1731575891450,13,4292,4070,142.463296,0.611452,0.000514,0.007949,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'NetworkStats' 'screen']
1731575891450,1731575891451,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['NetworkStats' 'screen']
1731575891451,1731575891455,4,4292,4070,142.463296,0.611452,0.000158,0.002446,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['NetworkStats' 'screen']
1731575891455,1731575937632,46177,4292,4070,142.463296,0.611452,1.827369,28.235041,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731575937632,1731575937648,16,4292,4070,142.463296,0.611452,0.000633,0.009783,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM' 'screen']
1731575937648,1731575937656,8,4292,4070,142.463296,0.611452,0.000317,0.004892,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*walarm*:com.google.android.gms.gcm.HEARTBEAT_ALARM' 'GCM_WORK' 'screen']
1731575937656,1731575937661,5,4292,4070,142.463296,0.611452,0.000198,0.003057,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['GCM_WORK' 'screen']
1731575937661,1731575937671,10,4292,4070,142.463296,0.611452,0.000396,0.006115,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['GCM_WORK' 'GCM_HB_ALARM' 'screen']
1731575937671,1731575937672,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['GCM_HB_ALARM' 'screen']
1731575937672,1731575937674,2,4292,4070,142.463296,0.611452,0.000079,0.001223,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_HB_ALARM' 'screen']
1731575937674,1731575937676,2,4292,4070,142.463296,0.611452,0.000079,0.001223,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_HB_ALARM' 'GCM_WORK' 'screen']
1731575937676,1731575937677,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_WORK' 'screen']
1731575937677,1731575937848,171,4292,4070,142.463296,0.611452,0.006767,0.104558,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731575937848,1731575937850,2,4292,4070,142.463296,0.611452,0.000079,0.001223,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_READ' 'screen']
1731575937850,1731575937851,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_READ' 'GCM_WORK' 'screen']
1731575937851,1731575937864,13,4292,4070,142.463296,0.611452,0.000514,0.007949,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['GCM_WORK' 'screen']
1731575937864,1731575938079,215,4292,4070,142.463296,0.611452,0.008508,0.131462,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731575938079,1731575938081,2,4292,4070,142.463296,0.611452,0.000079,0.001223,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731575938081,1731575938082,1,4292,4070,142.463296,0.611452,0.000040,0.000611,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
