start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731583291074,1731583291081,7,4201,3667,383.774852,1.612238,0.000746,0.011286,com.twitter.android,True,False,True,False,False,False,False,False,"['CallbackRunner' 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector'
 'screen']"
1731583291081,1731583291349,268,4201,3667,383.774852,1.612238,0.028570,0.432080,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583291349,1731583291368,19,4201,3667,383.774852,1.612238,0.002025,0.030633,com.twitter.android,True,False,True,False,False,False,False,False,"['NetworkStats' 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector'
 'screen']"
1731583291368,1731583291448,80,4201,3667,383.774852,1.612238,0.008528,0.128979,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583291448,1731583291502,54,4201,3667,383.774852,1.612238,0.005757,0.087061,com.twitter.android,True,False,True,False,False,False,False,False,"['*job*/com.twitter.android/androidx.work.impl.background.systemjob.SystemJobService'
 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']"
1731583291502,1731583291696,194,4201,3667,383.774852,1.612238,0.020681,0.312774,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583291696,1731583292779,1083,4133,3665,1125.527591,4.651806,0.338596,5.037905,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583292779,1731583292889,110,4133,3665,1125.527591,4.651806,0.034391,0.511699,com.twitter.android,True,False,True,False,False,False,False,False,['CollectionLib-SigCollector' 'screen']
1731583292889,1731583292902,13,4133,3665,1125.527591,4.651806,0.004064,0.060473,com.twitter.android,True,False,True,False,False,False,False,False,['NetworkStats' 'CollectionLib-SigCollector' 'screen']
1731583292902,1731583294015,1113,4133,3665,1125.527591,4.651806,0.347976,5.177460,com.twitter.android,True,False,True,False,False,False,False,False,['CollectionLib-SigCollector' 'screen']
1731583294015,1731583294245,230,4133,3665,1125.527591,4.651806,0.071909,1.069915,com.twitter.android,True,False,True,False,False,False,True,False,['CollectionLib-SigCollector' 'screen']
1731583294245,1731583294497,252,4133,3665,1125.527591,4.651806,0.078787,1.172255,com.twitter.android,True,False,True,False,False,False,False,False,['CallbackRunner' 'CollectionLib-SigCollector' 'screen']
1731583294497,1731583294498,1,4133,3665,1125.527591,4.651806,0.000313,0.004652,com.twitter.android,True,False,True,False,False,False,False,False,['CollectionLib-SigCollector' 'CallbackRunner' 'screen']
1731583294498,1731583294511,13,4133,3665,1125.527591,4.651806,0.004064,0.060473,com.twitter.android,True,False,True,False,False,False,False,False,['CallbackRunner' 'screen']
1731583294511,1731583294699,188,4133,3665,1125.527591,4.651806,0.058778,0.874539,com.twitter.android,True,False,True,False,False,False,False,False,screen
1731583294699,1731583294718,19,4133,3665,1125.527591,4.651806,0.005940,0.088384,com.twitter.android,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731583294718,1731583295151,433,4133,3665,1125.527591,4.651806,0.135376,2.014232,com.twitter.android,True,False,True,False,False,False,True,False,screen
1731583295151,1731583296113,962,4133,3665,1125.527591,4.651806,0.300766,4.475037,com.twitter.android,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731583296113,1731583297248,1135,4133,3665,1125.527591,4.651806,0.354854,5.279799,com.twitter.android,True,False,True,False,False,False,False,False,screen
1731583297248,1731583297263,15,4133,3665,1125.527591,4.651806,0.004690,0.069777,com.twitter.android,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731583297263,1731583297365,102,4133,3665,1125.527591,4.651806,0.031890,0.474484,com.twitter.android,True,False,True,False,False,False,True,False,screen
1731583297365,1731583297683,318,4133,3665,1125.527591,4.651806,0.099422,1.479274,com.twitter.android,True,False,True,False,False,False,False,False,screen
1731583297683,1731583297883,200,4133,3665,1125.527591,4.651806,0.062529,0.930361,com.twitter.android,True,False,True,False,False,False,True,False,screen
1731583297883,1731583297884,1,4133,3665,1125.527591,4.651806,0.000313,0.004652,com.twitter.android,True,False,True,False,False,False,True,False,"['*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 'screen']"
1731583297884,1731583297886,2,4133,3665,1125.527591,4.651806,0.000625,0.009304,com.twitter.android,True,False,True,False,False,False,True,False,"['*walarm*:com.google.android.location.ALARM_WAKEUP_ACTIVITY_DETECTION'
 'CallbackRunner' 'screen']"
1731583297886,1731583297893,7,4133,3665,1125.527591,4.651806,0.002189,0.032563,com.twitter.android,True,False,True,False,False,False,True,False,['CallbackRunner' 'CollectionLib-SigCollector' 'screen']
1731583297893,1731583297953,60,4133,3665,1125.527591,4.651806,0.018759,0.279108,com.twitter.android,True,False,True,False,False,False,True,False,['CollectionLib-SigCollector' 'screen']
1731583297953,1731583297961,8,4133,3665,1125.527591,4.651806,0.002501,0.037214,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583297961,1731583298093,132,4133,3665,1125.527591,4.651806,0.041269,0.614038,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583298093,1731583298489,396,4166,3663,649.366267,2.705260,0.071430,1.071283,com.twitter.android,True,False,True,False,False,False,False,False,['CollectionLib-SigCollector' 'screen']
1731583298489,1731583298719,230,4166,3663,649.366267,2.705260,0.041487,0.622210,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583298719,1731583298742,23,4166,3663,649.366267,2.705260,0.004149,0.062221,com.twitter.android,True,False,True,False,False,False,False,False,"['NetworkStats' 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector'
 'screen']"
1731583298742,1731583299208,466,4166,3663,649.366267,2.705260,0.084057,1.260651,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583299208,1731583299442,234,4137,3663,649.366267,2.686428,0.042209,0.628624,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583299442,1731583299500,58,4137,3663,649.366267,2.686428,0.010462,0.155813,com.twitter.android,True,False,True,False,False,False,False,False,"['*job*/com.twitter.android/androidx.work.impl.background.systemjob.SystemJobService'
 'AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']"
1731583299500,1731583299658,158,4137,3663,649.366267,2.686428,0.028500,0.424456,com.twitter.android,True,False,True,False,False,False,True,True,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583299658,1731583300049,391,4137,3663,649.366267,2.686428,0.070528,1.050393,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583300049,1731583300052,3,4137,3663,649.366267,2.686428,0.000541,0.008059,com.twitter.android,True,False,True,False,False,False,False,False,['CollectionLib-SigCollector' 'screen']
1731583300052,1731583301078,1026,4137,3663,649.366267,2.686428,0.185069,2.756275,com.twitter.android,True,False,True,False,False,False,False,False,['AudioMix AudioOut_1D1138' 'CollectionLib-SigCollector' 'screen']
1731583301078,1731583301135,57,4137,3663,649.366267,2.686428,0.010282,0.153126,com.twitter.android,True,False,True,False,False,False,True,True,['CollectionLib-SigCollector' 'screen']
1731583301135,1731583301311,176,4137,3663,649.366267,2.686428,0.031747,0.472811,com.twitter.android,True,False,True,False,False,False,False,True,['CollectionLib-SigCollector' 'AudioMix AudioOut_1D1138' 'screen']
1731583301311,1731583301312,1,4137,3663,649.366267,2.686428,0.000180,0.002686,com.twitter.android,True,False,True,False,False,False,False,True,"['CallbackRunner' 'CollectionLib-SigCollector' 'AudioMix AudioOut_1D1138'
 'screen']"
