start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731579402439,1731579402612,173,4263,3973,402.427340,1.715548,0.019339,0.296790,com.twitter.android,True,False,True,False,False,False,True,True,"['AudioMix AudioOut_1D1138' '*launch*'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402612,1731579402626,14,4263,3973,402.427340,1.715548,0.001565,0.024018,com.twitter.android,True,False,True,False,False,False,True,True,"['*gms_scheduler*:internal' 'AudioMix AudioOut_1D1138' '*launch*'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402626,1731579402628,2,4263,3973,402.427340,1.715548,0.000224,0.003431,com.twitter.android,True,False,True,False,False,False,True,True,"['AudioMix AudioOut_1D1138' '*launch*'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402628,1731579402631,3,4263,3973,402.427340,1.715548,0.000335,0.005147,com.twitter.android,True,False,True,False,False,False,True,True,"['*gms_scheduler*:internal' 'AudioMix AudioOut_1D1138' '*launch*'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402631,1731579402636,5,4263,3973,402.427340,1.715548,0.000559,0.008578,com.twitter.android,True,False,True,False,False,False,True,False,"['AudioMix AudioOut_1D1138' '*launch*'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402636,1731579402637,1,4263,3973,402.427340,1.715548,0.000112,0.001716,com.twitter.android,True,False,True,False,False,False,True,False,"['*launch*' '*job*/com.miui.weather2/.service.job.ScheduleCheckService'
 'screen']"
1731579402637,1731579402763,126,4263,3973,402.427340,1.715548,0.014085,0.216159,com.twitter.android,True,False,True,False,False,False,True,False,"['*launch*' 'AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579402763,1731579403834,1071,4263,3973,402.427340,1.715548,0.119722,1.837352,com.twitter.android,True,False,True,False,False,False,True,False,"['AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579403834,1731579403875,41,4263,3973,402.427340,1.715548,0.004583,0.070337,com.twitter.android,True,False,True,False,False,False,True,False,"['NetworkStats' 'AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579403875,1731579405640,1765,4263,3973,402.427340,1.715548,0.197301,3.027942,com.twitter.android,True,False,True,False,False,False,True,False,"['AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579405640,1731579415147,9507,4263,3973,402.427340,1.715548,1.062744,16.309712,com.twitter.android,True,False,True,False,False,False,False,False,['*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']
1731579415147,1731579415371,224,4263,3973,402.427340,1.715548,0.025040,0.384283,com.twitter.android,True,False,True,False,False,False,True,True,"['AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
1731579415371,1731579415372,1,4263,3973,402.427340,1.715548,0.000112,0.001716,com.twitter.android,True,False,True,False,False,False,True,True,['*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']
1731579415372,1731579415847,475,4263,3973,402.427340,1.715548,0.053098,0.814885,com.twitter.android,True,False,True,False,False,False,True,True,"['AudioMix AudioOut_1D1138'
 '*job*/com.miui.weather2/.service.job.ScheduleCheckService' 'screen']"
