start_time,end_time,Duration (mS),Voltage (mV),Remaining_charge (mAh),Intensity (mA),Power (W),Consumed charge(mAh),Energy (J),Top app,Screen(ON/OFF),GPS(ON/OFF),Mobile_Radio(ON/OFF),WiFi(ON/OFF),Wifi radio,Camera(ON/OFF),Video (ON/OFF),Audio(ON/OFF),Wakelock_in (Service)
1731577277347,1731577277410,63,4288,4046,137.572608,0.589911,0.002408,0.037164,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731577277410,1731577287712,10302,4288,4046,137.572608,0.589911,0.393687,6.077267,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577287712,1731577287714,2,4288,4046,137.572608,0.589911,0.000076,0.001180,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287714,1731577287738,24,4288,4046,137.572608,0.589911,0.000917,0.014158,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287738,1731577287739,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577287739,1731577287740,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287740,1731577287803,63,4288,4046,137.572608,0.589911,0.002408,0.037164,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577287803,1731577287814,11,4288,4046,137.572608,0.589911,0.000420,0.006489,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731577287814,1731577287917,103,4288,4046,137.572608,0.589911,0.003936,0.060761,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731577287917,1731577287918,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287918,1731577287925,7,4288,4046,137.572608,0.589911,0.000268,0.004129,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287925,1731577287926,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731577287926,1731577287948,22,4288,4046,137.572608,0.589911,0.000841,0.012978,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577287948,1731577320005,32057,4288,4046,137.572608,0.589911,1.225046,18.910788,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731577320005,1731577320008,3,4288,4046,137.572608,0.589911,0.000115,0.001770,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,['*alarm*:TIME_TICK' 'screen']
1731577320008,1731577346242,26234,4288,4046,137.572608,0.589911,1.002522,15.475734,com.mi.android.globallauncher,True,False,False,False,False,False,False,False,screen
1731577346242,1731577346493,251,4288,4046,137.572608,0.589911,0.009592,0.148068,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577346493,1731577346495,2,4288,4046,137.572608,0.589911,0.000076,0.001180,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577346495,1731577346496,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577346496,1731577346717,221,4288,4046,137.572608,0.589911,0.008445,0.130370,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577346717,1731577346718,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577346718,1731577346788,70,4288,4046,137.572608,0.589911,0.002675,0.041294,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577346788,1731577346805,17,4288,4046,137.572608,0.589911,0.000650,0.010028,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['NetworkStats' 'screen']
1731577346805,1731577361776,14971,4288,4046,137.572608,0.589911,0.572111,8.831563,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577361776,1731577361779,3,4288,4046,137.572608,0.589911,0.000115,0.001770,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577361779,1731577361780,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
1731577361780,1731577361795,15,4288,4046,137.572608,0.589911,0.000573,0.008849,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577361795,1731577361796,1,4288,4046,137.572608,0.589911,0.000038,0.000590,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,['*telephony-radio*' 'screen']
1731577361796,1731577361851,55,4288,4046,137.572608,0.589911,0.002102,0.032445,com.mi.android.globallauncher,True,False,True,False,False,False,False,False,screen
